rdfs:label,superclass,imicrobe label,mixs label,camera label,bco_dmo_short_name,hot_label,bco_dmo_definition
charge,physical environment parameter,charge__mmol,,Charge()  (mMol),,,
charge,physical environment parameter,charge_mmol,,Charge(+)  (mMol),,,
,physical environment parameter,day_portion_of_day_night_cycle_in_hours,,,,,
,physical environment parameter,environmental_temperature,,,,,
,physical environment parameter,experimental_temperature,,,,,
,physical environment parameter,light,,Light,,,
,physical environment parameter,light_intensity_umol_m2_s,light intensity,Light Intensity  (umol/m2/s),,,
,physical environment parameter,mean_annual_precipitation_cm,mean annual and seasonal precipitation,mean annual precipitation  (cm),,,
,physical environment parameter,night_portion_of_day_night_cycle_in_hours,,,,,
,physical environment parameter,pressure,,,press,,
,physical environment parameter,pressure,,,press,CTDPRS,
,physical environment parameter,pressure_atm,pressure,pressure  (atm),,,
,physical environment parameter,pressure_max,,,prmax,,
,physical environment parameter,rain_fall,rainfall regimen,Rain Fall,,,
temperature,physical environment parameter,temperature,,temperature,temp,,
,physical environment parameter,temperature,,,temp,CTDTMP,
,physical environment parameter,temperature_c,temperature,temperature  (C),,,
,physical environment parameter,transmission,,transmission,trans,,
plant cover,habitat,plant_cover,,Plant Cover,,,
,miscellaneous parameter,method_of_isolation,isolation and growth condition,method of isolation,,,
,sequence,assembly_accession_number,,,,,
,sequence,combined_assembly_name,,,,,
SKIP,sequence,contigs_file,,,,,
,sequence,dna_type,,DNA_TYPE,,,
,sequence,genbank_acc,,,,,
,sequence,gene_name,,gene name,,,
,sequence,library_acc,,LIBRARY_ACC,,,
SKIP,sequence,list_of_amino_acids_and_concentrations_with_units,,,,,
,sequence,num_of_reads,,NUM_OF_READS,,,
,sequence,number_of_samples_pooled,move to project?,number of samples pooled,,,
,sequence,pcr_amp,,,,,
SKIP,sequence,peptides_file,,,,,
,sequence,sequencing_chemistry,,,sequencing_chemistry,,
,sequence,sequencing_method,,SEQUENCING_METHOD,,,
,specimen,organism_count,organism count,,,,
,specimen,sample_description,,SAMPLE_DESCRIPTION,,,
,specimen,sample_id,,,sample,,
,specimen,sample_material,,,,,
,specimen,sample_name,,SAMPLE_NAME,,,
,specimen,sample_type,,Sample Type,,,
,specimen,sample_volume,,SAMPLE_VOLUME,,,
,specimen,taxon_id,,TAXON_ID,,,
turbidity,specimen,turbidity_ntu,,Turbidity  (ntu),,,
turbidity,specimen,turbidity_umol_kg,none,Turbidity  (umol/kg),,,
,taxon,class,,,,,
,taxon,family,,,,,
,taxon,genus,,,,,
,taxon,phylum,,,,,
SKIP,taxon,prelim_ncbi_taxon_id,,,,,
,taxon,species,,,,,
,taxon,strain,,,,,
,taxon,superkingdom,,,,,
order,taxon,torder,,,,,
